Step,Loss
0,9.3836
10,5.5174
20,4.8014
30,4.4569
40,4.343
50,4.238
60,4.3027
70,4.0836
80,4.1116
90,4.0726
100,4.1571
110,3.9197
120,3.976
130,3.9461
140,3.9532
150,3.9697
160,3.9601
170,3.9351
180,3.8993
190,3.8783
200,3.9774
210,3.8587
220,3.8349
230,3.8252
240,3.8264
250,3.573
260,3.5321
270,3.3706
280,3.1794
290,3.0276
300,3.0482
310,2.8799
320,2.8019
330,2.6746
340,2.6383
350,2.6694
360,2.5044
370,2.4126
380,2.3631
390,2.4698
400,2.203
410,2.3252
420,2.4659
430,2.2822
440,2.2655
450,2.0003
460,2.2086
470,2.1285
480,2.0802
490,2.1039
500,1.9918
510,2.0472
520,2.0846
530,2.1776
540,2.0039
550,2.0659
560,2.0031
570,2.0463
580,2.0288
590,1.9021
600,2.0395
610,1.9918
620,1.844
630,1.9517
640,1.9574
650,2.0783
660,1.8521
670,1.9213
680,1.8253
690,1.878
700,1.9979
710,1.7006
720,1.9376
730,1.8529
740,1.7896
750,1.7115
760,1.8139
770,1.9293
780,1.8119
790,1.8214
800,1.7252
810,1.7698
820,1.8202
830,1.8378
840,1.7933
850,1.8628
860,1.8792
870,1.8338
880,1.8901
890,1.6612
900,1.763
910,1.7233
920,1.6142
930,1.6643
940,1.7908
950,1.8618
960,1.7596
970,1.646
980,1.7441
990,1.5897
1000,1.8019
1010,1.5803
1020,1.6858
1030,1.7837
1040,1.702
1050,1.741
1060,1.711
1070,1.6575
1080,1.7105
1090,1.6651
1100,1.7683
1110,1.659
1120,1.5617
1130,1.6549
1140,1.6848
1150,1.6251
1160,1.567
1170,1.5102
1180,1.5955
1190,1.8278
1200,1.577
1210,1.6448
1220,1.6324
1230,1.596
1240,1.5889
1250,1.6867
1260,1.5886
1270,1.4559
1280,1.5894
1290,1.7468
1300,1.5403
1310,1.6782
1320,1.6858
1330,1.6466
1340,1.5729
1350,1.6333
1360,1.6376
1370,1.4833
1380,1.6201
1390,1.5916
1400,1.5878
1410,1.6043
1420,1.5011
1430,1.6279
1440,1.5546
1450,1.6211
1460,1.4866
1470,1.58
1480,1.5321
1490,1.6707
1500,1.5333
1510,1.6103
1520,1.5822
1530,1.5132
1540,1.4746
1550,1.5874
1560,1.4646
1570,1.6736
1580,1.5499
1590,1.5869
1600,1.6292
1610,1.4873
1620,1.6038
1630,1.488
1640,1.6449
1650,1.5944
1660,1.4504
1670,1.5928
1680,1.4575
1690,1.5185
1700,1.604
1710,1.6419
1720,1.6254
1730,1.5898
1740,1.4824
1750,1.5428
1760,1.6626
1770,1.5503
1780,1.534
1790,1.5159
1800,1.4854
1810,1.5194
1820,1.6837
1830,1.4464
1840,1.5556
1850,1.497
1860,1.5424
1870,1.5129
1880,1.4093
1890,1.5101
1900,1.4582
1910,1.523
1920,1.5841
1930,1.4689
1940,1.4688
1950,1.5749
1960,1.5488
1970,1.5014
1980,1.3952
1990,1.4454
2000,1.4841
2010,1.5729
2020,1.4286
2030,1.5848
2040,1.5738
2050,1.5031
2060,1.4286
2070,1.3538
2080,1.4403
2090,1.4681
2100,1.3927
2110,1.3892
2120,1.4973
2130,1.5091
2140,1.4499
2150,1.3681
2160,1.4329
2170,1.4954
2180,1.5002
2190,1.4882
2200,1.5448
2210,1.5199
2220,1.4777
2230,1.3976
2240,1.4255
2250,1.4
2260,1.5202
2270,1.4004
